mpid,firstname,surname,party
1314,Alan,Whitehead,Lab
1315,John,Whittingdale,Con
1316,Malcolm,Wicks,Lab
1317,Ann,Widdecombe,Con
1318,Bill,Wiggin,Con
1319,John,Wilkinson,Con
1320,David,Willetts,Con
1321,Alan,Williams,Lab
1322,Betty,Williams,Lab
1323,Hywel,Williams,PC
1324,Roger,Williams,LDem
1325,Phil,Willis,LDem
1326,Michael,Wills,Lab
1327,David,Wilshire,Con
1328,Brian,Wilson,Lab
1329,David,Winnick,Lab
1330,Ann,Winterton,Con
1331,Nicholas,Winterton,Con
1332,Rosie,Winterton,Lab
1333,Pete,Wishart,SNP
1334,Mike,Wood,Lab
1335,Shaun,Woodward,Lab
1336,Phil,Woolas,Lab
1337,Tony,Worthington,Lab
1338,Jimmy,Wray,Lab
1339,Anthony,D Wright,Lab
1340,David,Wright,Lab
1341,Tony,Wright,Lab
1342,Derek,Wyatt,Lab
1343,Tim,Yeo,Con
1344,George,Young,Con
1345,Richard,Younger-Ross,LDem
1346,Chris,Mole,Lab
1347,Huw,Irranca-Davies,Lab
1348,Paul,Marsden,LDem
1349,Andrew,Hunter,Independent
1350,Sarah,Teather,LDem
1351,David,Burnside,Independent
1352,Jeffrey,M. Donaldson,Independent
1353,Martin,Smyth,Independent
1354,George,Galloway,Independent
1355,Jeffrey,M. Donaldson,DUP
1356,David,Burnside,UUP
1357,Martin,Smyth,UUP
1358,Ann,Winterton,Independent
1359,Ann,Winterton,Con
1360,Liam,Byrne,Lab
1361,Parmjit,Gill,LDem
1362,Iain,Wright,Lab
1363,Andrew,Hunter,DUP
1364,Robert,Jackson,Lab
1365,Jonathan,Sayeed,Independent
1366,Howard,Flight,Independent
