Story ID	Ranking	Subject (What)	Event Initiator	Tone
708	S	302	73	18
708	S	174	59	26
709	1	264	41	10
709	S	174	59	23
710	1	291	17	24
710	M	262	41	24
710	M	132	17	24
711	1	172	53	31
711	M	177	53	23
712	1	166	13	19
712	1	435	13	19
713	1	999	09	18
713	M	141	53	18
713	S	390	09	18
713	S	21	75	26
715	1	301	53	40
715	S	408	53	26
715	S	394	53	26
716	1	483	19	31
716	M	289	19	23
716	M	451	19	31
716	M	51	19	31
718	1	51	01	02
720	1	396	11	25
721	1	312	35	24
721	M	148	35	24
721	M	311	35	07
722	1	148	53	25
722	M	360	53	33
722	S	370	53	18
723	1	430	53	18
723	M	60	53	18
723	S	136	53	24
724	1	1	71	40
724	M	11	71	40
724	M	2	01	32
725	1	27	01	26
727	1	50	11	32
727	M	2	71	32
728	M	284	11	31
728	1	411	11	23
