ID	Justification	Subject (Whom)	Tone
2721	12	811	Assumed
2727	02	600	Reinforcing
2733	12	541	Reinforcing
2737	12	541	Assumed
2737	12	580	Assumed
2737	12	862	Deflating
2773	12	541	Reinforcing
2824	30	862	Assumed
2824	31	862	Assumed
2856	02	503	Reinforcing
2869	12	541	Reinforcing
2897	02	862	Reinforcing
2919	23	862	Deflating
2920	13	905	Reinforcing
2920	13	905	Reinforcing
2920	13	905	Assumed
2953	02	792	Assumed
2953	07	792	Assumed
2954	12	801	Assumed
2973	02	697	Assumed
2985	23	503	Assumed
3011	21	840	Reinforcing
3018	23	500	Assumed
3032	02	500	Assumed
3093	21	801	Assumed
3106	02	600	Reinforcing
3139	17	830	Assumed
3139	21	830	Assumed
3139	19	830	Assumed
3195	21	801	Assumed
3204	02	697	Assumed
3204	02	521	Reinforcing
3228	13	850	Assumed
3229	23	500	Assumed
3234	15	862	Reinforcing
3234	17	862	Reinforcing
3234	12	862	Assumed
3239	02	697	Assumed
3241	02	500	Reinforcing
3241	25	500	Assumed
3248	21	801	Assumed
3250	26	862	Mixed
3265	02	500	Reinforcing
3265	25	500	Assumed
3284	23	500	Reinforcing
3284	02	500	Reinforcing
3284	25	500	Assumed
3287	25	526	Assumed
3289	02	697	Reinforcing
3290	20	817	Reinforcing
3290	12	739	Reinforcing
3292	02	880	Reinforcing
3316	02	500	Reinforcing
3316	25	500	Assumed
3316	23	500	Reinforcing
3320	21	801	Assumed
3326	10	792	Reinforcing
3326	28	792	Reinforcing
3340	23	611	Reinforcing
3340	28	611	Reinforcing
3340	07	611	Reinforcing
3342	02	500	Reinforcing
3342	25	500	Assumed
3344	02	667	Reinforcing
3344	29	667	Reinforcing
3352	02	862	Reinforcing
3410	28	862	Deflating
3436	14	667	Assumed
3468	02	611	Reinforcing
3469	23	862	Assumed
3507	12	541	Assumed
3533	01	862	Assumed
3533	02	862	Assumed
3545	33	862	Reinforcing
3545	12	862	Assumed
3569	12	541	Assumed
3569	12	543	Assumed
3599	02	667	Reinforcing
3600	33	711	Reinforcing
3603	21	720	Assumed
3603	12	720	Assumed
3647	33	862	Reinforcing
3647	17	862	Reinforcing
3647	15	862	Reinforcing
3647	02	862	Deflating
3647	21	862	Assumed
3647	29	862	Reinforcing
3649	22	862	Assumed
3700	33	862	Assumed
3715	02	600	Reinforcing
3740	02	690	Assumed
3741	21	862	Assumed
3741	02	862	Deflating
3785	22	683	Assumed
3798	23	500	Reinforcing
3798	02	600	Reinforcing
3798	25	500	Assumed
3799	12	862	Mixed
3849	31	999	Assumed
3851	25	601	Assumed
3866	02	660	Reinforcing
3883	25	500	Reinforcing
3899	12	580	Assumed
3934	02	862	Assumed
3934	02	681	Reinforcing
3934	02	514	Reinforcing
3934	02	850	Reinforcing
3939	02	862	Reinforcing
3956	02	862	Reinforcing
3957	31	816	Assumed
3966	01	500	Reinforcing
3966	02	500	Reinforcing
3966	02	600	Reinforcing
3991	01	500	Reinforcing
3997	13	862	Reinforcing
3998	12	804	Reinforcing
4004	23	681	Assumed
4009	25	500	Assumed
4009	23	600	Reinforcing
4011	02	862	Mixed
4037	03	500	Reinforcing
4048	01	500	Reinforcing
4048	23	600	Assumed
4068	13	731	Assumed
4068	33	667	Assumed
4094	02	661	Reinforcing
4097	02	500	Reinforcing
4097	25	500	Reinforcing
4097	23	600	Assumed
4120	02	631	Reinforcing
4178	21	731	Assumed
4178	12	731	Assumed
4183	12	739	Assumed
4195	02	500	Assumed
4214	02	862	Reinforcing
4344	02	621	Assumed
4344	11	621	Assumed
4361	34	722	Assumed
4399	12	730	Assumed
4399	21	730	Assumed
4399	12	731	Assumed
4401	11	722	Questioned
4402	13	862	Assumed
4428	25	620	Assumed
4428	29	862	Reinforcing
4471	02	600	Reinforcing
4495	02	862	Reinforcing
4511	10	830	Assumed
4513	17	645	Assumed
4513	15	645	Assumed
4539	02	661	Reinforcing
4540	23	600	Assumed
4544	10	862	Reinforcing
4583	12	862	Assumed
