ID	Reporting restrictions
1357	None mentioned
1358	‘Embedded’ reporter
1359	None mentioned
1360	None mentioned
1361	None mentioned
1362	None mentioned
1363	None mentioned
1364	None mentioned
1365	None mentioned
1366	None mentioned
1367	None mentioned
1368	None mentioned
1370	None mentioned
1371	None mentioned
1372	None mentioned
1373	None mentioned
1374	None mentioned
1375	None mentioned
1376	None mentioned
1377	None mentioned
1378	None mentioned
1380	None mentioned
1381	None mentioned
1382	None mentioned
1383	None mentioned
1384	None mentioned
1385	None mentioned
1386	None mentioned
1387	None mentioned
1388	None mentioned
1389	None mentioned
1390	None mentioned
1391	None mentioned
1392	‘Embedded’ reporter
1393	None mentioned
1394	None mentioned
1395	None mentioned
1396	None mentioned
1397	None mentioned
1398	None mentioned
1399	None mentioned
1400	None mentioned
1401	None mentioned
1403	None mentioned
1404	None mentioned
1405	None mentioned
1406	None mentioned
1408	None mentioned
1409	None mentioned
1410	None mentioned
1411	None mentioned
1412	None mentioned
1414	None mentioned
1415	None mentioned
1416	None mentioned
1417	None mentioned
1419	None mentioned
1420	None mentioned
1421	None mentioned
1423	None mentioned
1425	None mentioned
1426	None mentioned
1427	None mentioned
1429	None mentioned
1431	None mentioned
1432	None mentioned
1433	None mentioned
1434	None mentioned
1435	None mentioned
1436	None mentioned
1438	None mentioned
1439	None mentioned
1440	None mentioned
1442	None mentioned
1443	None mentioned
1444	None mentioned
1445	None mentioned
1446	None mentioned
1448	None mentioned
1449	None mentioned
1450	None mentioned
1451	None mentioned
1452	None mentioned
1453	None mentioned
1454	None mentioned
1455	None mentioned
1456	None mentioned
1457	None mentioned
1459	None mentioned
1460	None mentioned
1461	None mentioned
1462	None mentioned
1463	‘Embedded’ reporter
1464	None mentioned
1465	None mentioned
1468	None mentioned
1469	None mentioned
1470	None mentioned
1472	None mentioned
1473	None mentioned
1474	None mentioned
1475	None mentioned
1477	None mentioned
1478	None mentioned
1479	None mentioned
1480	None mentioned
1481	None mentioned
1482	None mentioned
1483	None mentioned
1484	None mentioned
1485	None mentioned
1486	None mentioned
1487	None mentioned
1488	None mentioned
1489	None mentioned
1490	None mentioned
1491	None mentioned
1492	None mentioned
1493	None mentioned
1494	None mentioned
1495	‘Embedded’ reporter
1496	None mentioned
1497	None mentioned
1498	None mentioned
1499	None mentioned
1500	None mentioned
1501	None mentioned
1502	‘Embedded’ reporter
1503	None mentioned
1504	None mentioned
1505	None mentioned
1506	None mentioned
1507	None mentioned
1508	None mentioned
1509	‘Embedded’ reporter
1510	None mentioned
1512	None mentioned
1513	None mentioned
1514	None mentioned
1515	None mentioned
1516	None mentioned
1517	None mentioned
1518	None mentioned
1519	None mentioned
1520	None mentioned
1521	None mentioned
1522	None mentioned
1523	None mentioned
1524	None mentioned
1525	None mentioned
1526	None mentioned
1527	None mentioned
1528	None mentioned
1529	None mentioned
1530	None mentioned
1531	None mentioned
1532	None mentioned
1533	‘Embedded’ reporter
1534	None mentioned
1535	None mentioned
1536	None mentioned
1537	None mentioned
1538	None mentioned
1539	None mentioned
1540	None mentioned
1541	None mentioned
1542	None mentioned
1543	None mentioned
1544	None mentioned
1545	‘Embedded’ reporter
1546	None mentioned
1547	None mentioned
1548	None mentioned
1549	None mentioned
1550	None mentioned
1551	None mentioned
1552	None mentioned
1553	None mentioned
1554	None mentioned
1555	None mentioned
1556	None mentioned
1557	None mentioned
1558	None mentioned
1560	‘Embedded’ reporter
1561	None mentioned
1562	None mentioned
1563	None mentioned
1564	None mentioned
1565	None mentioned
1566	None mentioned
1567	None mentioned
1568	None mentioned
1569	None mentioned
1570	None mentioned
1571	None mentioned
1572	None mentioned
1573	None mentioned
1574	None mentioned
1575	None mentioned
1576	None mentioned
1577	‘Embedded’ reporter
1578	‘Embedded’ reporter
1579	None mentioned
1580	None mentioned
1581	None mentioned
1582	None mentioned
1583	None mentioned
1584	None mentioned
1585	None mentioned
1586	None mentioned
1587	None mentioned
1588	None mentioned
1589	None mentioned
1590	None mentioned
1591	None mentioned
1592	None mentioned
1593	None mentioned
1594	None mentioned
1595	None mentioned
1596	None mentioned
1597	None mentioned
1600	None mentioned
1602	None mentioned
1603	None mentioned
1604	None mentioned
1605	None mentioned
1606	None mentioned
1608	None mentioned
1609	None mentioned
1610	None mentioned
1611	None mentioned
1613	None mentioned
1614	None mentioned
1615	None mentioned
1616	None mentioned
1617	None mentioned
1618	None mentioned
1620	None mentioned
1621	None mentioned
1622	None mentioned
1623	None mentioned
1624	None mentioned
1625	None mentioned
1626	None mentioned
1627	None mentioned
1628	None mentioned
1629	None mentioned
