ID	1 - Subject of photo	2 - Event Initiator	3 - Alternative source credited?	4 - Size of Photo
838	288	13	N/A no other source	S
839	059	07	Reuters	S
840	134	01	AP	XL
840	135	01	Getty Images	M
840	135	01	Getty Images	M
840	091	53	N/A no other source	S
840	135	01	Reuters	S
841	182	72	EPA	XL
841	053	53	N/A no other source	S
841	175	74	N/A no other source	S
843	203	41	N/A no other source	S
843	200	37	N/A no other source	S
843	999	75	N/A no other source	S
844	202	41	N/A no other source	S
844	202	41	Reuters	S
845	241	53	N/A no other source	XL
846	290	11	Reuters	XL
846	290	11	N/A no other source	S
851	053	71	Reuters	XL
851	062	53	N/A no other source	S
851	063	71	N/A no other source	M
851	053	71	N/A no other source	M
852	038	03	Reuters	L
852	038	03	Reuters	S
852	062	03	N/A no other source	S
854	007	71	N/A no other source	M
854	007	71	N/A no other source	L
855	007	71	AP	XL
856	053	71	N/A no other source	M
856	076	01	N/A no other source	S
856	063	71	N/A no other source	M
857	350	13	N/A no other source	L
859	241	53	N/A no other source	L
859	026	01	N/A no other source	XL
861	038	03	N/A no other source	S
862	135	24	Reuters	M
862	134	01	AP	XL
862	135	24	AP	S
863	182	72	N/A no other source	L
869	350	53	N/A no other source	L
869	007	71	N/A no other source	M
871	007	71	Other US media source	L
873	134	01	Reuters	M
873	353	01	Reuters	S
873	241	53	N/A no other source	S
873	241	53	N/A no other source	S
873	241	53	N/A no other source	S
873	033	01	Reuters	L
873	144	01	Reuters	S
873	059	21	Reuters	S
873	241	53	N/A no other source	M
875	135	24	AP	M
875	134	24	AP	M
876	059	07	Getty Images	S
877	288	13	AP	L
878	038	03	N/A no other source	S
881	182	03	N/A no other source	S
880	182	72	AFP	M
882	053	01	N/A no other source	S
888	202	41	EPA	M
890	113	55	Getty Images	M
890	113	55	Other US media source	S
890	113	55	Other US media source	S
890	113	55	Other US media source	S
892	290	11	Reuters	M
894	364	52	AP	M
897	241	53	N/A no other source	S
897	045	05	AP	M
898	999	75	AFP	S
901	007	71	N/A no other source	M
904	182	72	EPA	L
906	241	53	N/A no other source	L
907	039	01	AP	M
910	134	01	AP	M
910	144	52	Reuters	M
910	152	01	Corbis	S
910	135	71	AP	S
910	135	03	AP	S
910	135	03	AP	S
911	026	01	AP	M
911	242	53	N/A no other source	S
913	372	52	Reuters	L
916	251	29	N/A no other source	S
917	202	41	EPA	M
919	200	37	Getty Images	M
921	999	75	N/A no other source	M
924	290	11	EPA	M
927	007	71	N/A no other source	L
928	241	53	N/A no other source	S
929	059	21	Reuters	S
929	059	21	Reuters	S
930	241	53	N/A no other source	L
933	039	01	AP	L
934	038	03	N/A no other source	S
937	353	21	AP	M
939	053	71	Reuters	S
941	041	01	EPA	L
942	182	72	EPA	M
944	403	53	N/A no other source	S
945	251	35	N/A no other source	M
947	340	65	N/A no other source	S
947	999	21	N/A no other source	S
947	038	03	AP	S
948	999	75	N/A no other source	S
943	999	75	N/A no other source	S
949	288	13	AP	M
949	075	03	AP	S
952	202	41	EPA	S
954	278	11	EPA	M
956	134	01	AP	M
956	135	03	N/A no other source	S
956	075	03	N/A no other source	S
958	076	53	Reuters	M
958	059	01	Reuters	S
961	007	71	N/A no other source	XL
961	241	53	N/A no other source	S
963	031	01	Reuters	L
964	062	01	Reuters	L
964	172	02	AP	S
964	152	03	UK Military/ Government	M
966	038	03	UK Military/ Government	L
968	036	01	Getty Images	M
970	182	72	N/A no other source	L
970	075	03	N/A no other source	S
970	053	53	N/A no other source	S
972	134	01	AP	L
974	241	53	N/A no other source	L
975	135	01	AP	M
978	053	71	N/A no other source	L
981	205	75	AP	M
983	232	17	AP	S
986	351	13	AP	M
988	232	11	N/A no other source	M
989	059	21	Reuters	M
994	166	75	N/A no other source	S
994	401	65	N/A no other source	L
995	119	74	N/A no other source	S
996	166	66	N/A no other source	S
996	175	66	N/A no other source	S
996	182	72	N/A no other source	S
997	118	54	N/A no other source	L
997	119	54	N/A no other source	M
997	119	54	N/A no other source	S
997	119	54	N/A no other source	S
1000	007	71	N/A no other source	L
1000	054	71	N/A no other source	M
1000	063	05	N/A no other source	M
1000	010	74	N/A no other source	M
1001	355	74	N/A no other source	S
1001	351	13	N/A no other source	S
1002	060	03	N/A no other source	S
1002	053	03	N/A no other source	S
1004	053	71	N/A no other source	XL
1004	154	01	N/A no other source	M
1004	034	74	N/A no other source	M
1004	149	74	N/A no other source	S
