ID	1 - Subject of visual	2 - Event Initiator	3 - Alternative source credited?
265	140	72	N/A no other source
265	288	13	N/A no other source
265	054	72	N/A no other source
265	058	05	Iraqi State TV/ media
265	037	72	N/A no other source
266	241	53	N/A no other source
266	071	01	Other US media source
266	091	53	N/A no other source
266	037	02	N/A no other source
266	032	01	N/A no other source
266	071	01	N/A no other source
266	062	01	N/A no other source
268	241	53	N/A no other source
268	002	01	N/A no other source
268	031	01	N/A no other source
268	372	52	N/A no other source
268	371	52	Iraqi State TV/ media
268	039	01	N/A no other source
268	363	52	N/A no other source
269	278	11	N/A no other source
269	279	09	N/A no other source
269	300	09	N/A no other source
271	203	41	N/A no other source
271	202	41	N/A no other source
272	053	01	N/A no other source
272	039	01	N/A no other source
272	062	01	N/A no other source
272	076	53	N/A no other source
272	279	09	N/A no other source
272	113	55	Other US media source
272	032	01	N/A no other source
272	285	09	N/A no other source
272	071	01	N/A no other source
272	091	53	N/A no other source
272	002	01	Abu Dhabi
272	007	01	Abu Dhabi
272	002	01	Al Jazeera
272	007	01	Al Jazeera
274	130	53	Al Jazeera
274	136	53	N/A no other source
274	111	53	N/A no other source
274	241	53	N/A no other source
275	241	53	N/A no other source
275	054	03	N/A no other source
275	062	03	N/A no other source
275	038	03	N/A no other source
275	016	03	N/A no other source
275	361	04	N/A no other source
275	063	06	N/A no other source
275	018	03	N/A no other source
278	037	02	N/A no other source
278	039	22	N/A no other source
278	062	01	N/A no other source
279	037	02	US reporter from other media source
279	062	02	US reporter from other media source
280	037	74	N/A no other source
280	054	72	N/A no other source
280	140	72	N/A no other source
280	178	52	N/A no other source
280	371	52	N/A no other source
280	288	13	N/A no other source
280	372	52	N/A no other source
280	114	13	N/A no other source
280	058	02	Iraqi State TV/ media
280	062	71	N/A no other source
281	241	53	N/A no other source
281	037	02	N/A no other source
281	042	05	N/A no other source
281	062	71	N/A no other source
281	354	13	N/A no other source
282	370	52	N/A no other source
282	360	03	N/A no other source
282	056	03	N/A no other source
282	041	03	N/A no other source
282	372	52	N/A no other source
282	034	03	N/A no other source
283	278	11	N/A no other source
284	130	02	Iraqi State TV/ media
284	058	02	Iraqi State TV/ media
284	300	09	N/A no other source
284	371	52	Iraqi State TV/ media
