Story ID	Ranking	Subject (Whom)	Tone
106	S	849	Straight
106	S	792	Straight
106	P	856	Straight
106	P	803	Straight
106	P	721	Straight
107	M	802	Straight
107	M	821	Straight
108	M	696	Straight
108	M	602	Straight
108	M	770	Straight
108	S	649	Straight
108	P	640	Straight
108	P	645	Straight
109	M	830	Straight
109	M	722	Straight
109	M	710	Straight
109	P	620	Straight
109	P	526	Straight
109	P	640	Straight
109	S	774	Straight
109	P	850	Straight
109	P	645	Straight
110	M	500	Straight
110	M	801	Straight
110	S	503	Straight
110	S	800	Straight
110	P	697	Straight
110	P	526	Straight
110	S	739	Straight
110	P	804	Straight
110	P	834	Straight
110	P	518	Straight
111	S	901	Straight
111	S	652	Straight
111	P	640	Straight
112	M	681	Straight
113	M	697	Straight
113	S	905	Straight
113	P	681	Straight
114	M	602	Deflating
114	S	649	Straight
114	P	791	Straight
114	P	792	Straight
114	P	526	Straight
114	P	640	Straight
114	P	645	Straight
115	S	640	Straight
115	P	658	Straight
115	P	645	Straight
115	P	641	Straight
115	P	526	Straight
115	P	620	Straight
115	S	656	Straight
115	P	906	Straight
115	S	850	Straight
115	S	649	Straight
116	M	656	Straight
116	M	901	Straight
116	S	649	Straight
116	P	640	Straight
116	P	658	Straight
116	S	850	Straight
117	M	681	Straight
117	S	649	Straight
118	M	681	Straight
118	S	649	Straight
119	M	681	Straight
120	M	697	Straight
120	P	681	Straight
120	P	645	Straight
120	P	640	Straight
120	M	649	Straight
120	S	862	Straight
120	S	906	Straight
121	M	681	Straight
121	S	697	Straight
122	P	693	Straight
122	P	999	Straight
122	S	830	Straight
123	M	600	Straight
123	S	602	Straight
123	S	622	Straight
123	S	733	Straight
123	P	999	Straight
123	P	681	Straight
123	P	640	Straight
123	P	815	Straight
123	P	900	Straight
123	P	649	Straight
123	P	850	Straight
124	M	607	Straight
124	M	600	Straight
124	M	602	Straight
124	S	801	Straight
124	S	802	Straight
124	S	803	Straight
124	P	697	Straight
124	P	681	Straight
124	P	850	Straight
125	P	801	Straight
125	P	802	Straight
125	M	803	Straight
125	P	804	Straight
125	M	739	Straight
125	S	805	Straight
125	P	999	Straight
125	P	600	Straight
125	P	500	Straight
126	M	500	Straight
126	P	640	Straight
126	S	580	Straight
126	S	697	Straight
126	P	999	Straight
126	P	503	Straight
126	P	834	Straight
126	S	730	Straight
126	S	550	Straight
126	P	801	Straight
126	P	620	Straight
127	M	801	Straight
127	M	500	Straight
127	S	697	Straight
127	S	830	Straight
127	P	849	Straight
127	P	833	Straight
127	P	998	Straight
127	P	645	Straight
129	P	640	Straight
129	P	641	Straight
129	M	681	Straight
129	M	697	Straight
129	S	693	Straight
129	P	677	Straight
130	P	641	Straight
130	S	640	Straight
130	S	850	Straight
130	S	643	Straight
131	S	850	Straight
131	S	645	Straight
131	P	640	Straight
131	P	658	Straight
131	P	649	Straight
131	M	643	Straight
131	P	697	Straight
131	P	681	Straight
131	P	999	Straight
131	P	620	Straight
131	P	738	Straight
131	S	765	Straight
131	P	855	Straight
132	M	805	Straight
132	S	681	Straight
133	S	608	Straight
134	S	612	Straight
134	S	693	Straight
134	M	681	Straight
134	S	649	Straight
134	P	697	Straight
135	M	697	Straight
135	P	602	Straight
135	P	503	Straight
135	M	681	Straight
135	P	693	Straight
135	S	649	Straight
135	S	850	Straight
136	M	649	Straight
136	M	697	Straight
136	S	681	Straight
136	S	693	Straight
136	S	692	Straight
136	P	522	Straight
136	P	855	Straight
136	P	640	Straight
137	M	681	Straight
137	M	697	Straight
137	S	649	Straight
137	P	693	Straight
138	M	681	Straight
138	S	649	Straight
138	S	873	Straight
139	M	805	Straight
139	P	681	Straight
139	P	907	Straight
139	P	608	Straight
140	S	697	Straight
140	P	681	Straight
140	M	500	Straight
140	P	649	Straight
141	M	602	Straight
141	S	640	Straight
141	P	612	Straight
141	S	600	Straight
141	S	649	Straight
141	S	645	Straight
141	P	603	Straight
141	S	873	Straight
141	S	601	Straight
141	S	880	Straight
141	S	674	Straight
141	P	856	Straight
141	S	783	Straight
141	P	929	Straight
141	S	608	Straight
142	M	814	Straight
143	M	615	Straight
143	P	862	Straight
143	S	670	Straight
143	M	640	Straight
143	S	667	Straight
143	S	645	Straight
