ID	Coding frame used	Tone
1093	Restoration of law and order (post-conflict)	26
1094	Restoration of law and order (post-conflict)	34
1095	Not applicable	
1096	Not applicable	
1097	Civilian casualties	32
1098	Restoration of law and order (post-conflict)	34
1099	Civilian casualties	32
1100	Justification: Humanitarian (Blairite)	19
1101	Humanitarian issues (aid delivery)	19
1102	Battle	34
1103	Not applicable	
1104	Coalition military casualties	25
1105	Not applicable	
1106	Civilian casualties	32
1107	Humanitarian issues (aid delivery)	24
1108	Restoration of law and order (post-conflict)	18
1109	Not applicable	
1110	Not applicable	
1111	Justification: War on Terror	34
1112	Not applicable	
1113	Not applicable	
1114	Humanitarian issues (aid delivery)	24
1115	Not applicable	
1116	Not applicable	
1117	Not applicable	
877	Humanitarian issues (aid delivery)	34
1049	Restoration of law and order (post-conflict)	31
256	Battle	33
1119	Not applicable	
1120	Not applicable	
1121	Not applicable	
1122	Not applicable	
1123	Not applicable	
1124	Not applicable	
1125	Not applicable	
1126	Not applicable	
1127	Battle	40
1128	Not applicable	
1129	Battle	25
1130	Battle	32
1131	Battle	08
1132	Justification: WMDs	27
1133	Not applicable	
1134	Justification: WMDs	19
1135	Battle	34
1136	Not applicable	
1137	Strategy	26
1138	Battle	32
1139	Not applicable	
1140	Not applicable	
1141	Not applicable	
1142	Justification: WMDs	33
1142	Justification: Humanitarian (Blairite)	33
1143	Not applicable	
1144	Battle	32
1145	Not applicable	
1146	Battle	40
